t_start_s,t_end_s,duration_s,energy_nJ
9.84438,9.9873,0.14292000000000016,394964.57589091104
10.18758,10.3305,0.14292000000000016,390758.46610822954
10.53078,10.6737,0.14292000000000016,394565.68650434987
10.87398,11.01688,0.14290000000000092,393710.58611664484
11.21716,11.36008,0.14292000000000016,392133.4653673632
11.56036,11.70328,0.14292000000000016,388958.29999818787
11.90356,12.04648,0.14292000000000016,387814.0803263452
12.24676,12.38968,0.14292000000000016,387721.10339951975
12.58996,12.73288,0.14292000000000016,387816.2210527742
12.93316,13.07608,0.14291999999999838,388055.87413253955
13.27636,13.41928,0.14292000000000016,388219.3651632331
13.61954,13.76246,0.14292000000000016,388528.96867784864
13.96274,14.10566,0.14292000000000016,388657.0487916405
14.30594,14.44884,0.14290000000000092,388840.8457953439
14.64912,14.79204,0.14292000000000016,388990.5164530435
14.99232,15.13522,0.14290000000000092,388998.443195592
15.3355,15.47842,0.14292000000000016,389231.8409075892
15.6787,15.82162,0.14292000000000016,389110.9823109519
16.0219,16.16482,0.14292000000000016,389180.94493681024
16.3651,16.50802,0.1429199999999966,389209.16304456204
16.7083,16.85124,0.1429399999999994,389344.3964538078
17.05152,17.19444,0.14292000000000016,389387.66769831424
17.39472,17.53764,0.14292000000000016,389296.5304036561
17.73792,17.88084,0.14292000000000016,389407.08958543255
18.08112,18.22404,0.14292000000000016,389291.14603436965
18.42432,18.56726,0.1429399999999994,389326.685022089
18.76754,18.91046,0.14292000000000016,389282.4818892338
19.11074,19.25366,0.14292000000000016,389232.46750141773
19.45394,19.59686,0.14292000000000016,389308.78560524044
19.79714,19.94004,0.14290000000000092,389170.3071747871
20.14032,20.28324,0.14292000000000016,389253.289096517
20.4835,20.62642,0.14292000000000016,389273.60598462855
20.8267,20.9696,0.14290000000000092,389112.6129380394
21.16988,21.3128,0.14292000000000016,389301.1678149862
21.51308,21.656,0.14292000000000016,389168.14496972965
21.85626,21.99918,0.14292000000000016,388291.5484672352
22.19946,22.34238,0.14292000000000016,388283.85554020834
22.54266,22.68558,0.14292000000000016,388242.12991398893
22.88586,23.02878,0.14292000000000016,388382.92086030496
23.22904,23.37196,0.14292000000000016,388314.80514955835
23.57224,23.71516,0.14292000000000016,388413.0849339927
23.91542,24.05834,0.14292000000000016,388330.9661783198
24.2586,24.40152,0.14292000000000016,388381.9482079626
24.6018,24.74472,0.14292000000000016,388534.21058737906
24.945,25.08792,0.14292000000000016,388457.5423924184
25.2882,25.43112,0.14292000000000016,388535.34683351684
25.6314,25.77432,0.14292000000000016,388291.2257732762
25.9746,26.11752,0.14292000000000016,388409.66893126693
26.3178,26.46072,0.14292000000000016,388537.83154160925
26.661,26.80392,0.14292000000000016,388302.9784820908
27.0042,27.1471,0.14289999999999736,388445.34904461773
27.34738,27.4903,0.14292000000000016,388282.27349789033
27.69058,27.8335,0.14292000000000016,388335.6509148064
28.03378,28.1767,0.14292000000000016,388428.447830948
28.37698,28.5199,0.14292000000000016,388218.94221007143
28.7202,28.8631,0.14290000000000092,388242.4297253567
29.06338,29.2063,0.14292000000000016,388306.8563090573
29.40658,29.5495,0.1429199999999966,388342.1221794389
29.74978,29.8927,0.14292000000000016,388363.7503301658
30.09298,30.2359,0.14292000000000016,388317.93484277267
30.43618,30.5791,0.14292000000000016,388156.577616458
30.77938,30.9223,0.14292000000000016,388241.65791505144
31.12258,31.2655,0.14292000000000016,388255.98479480797
31.46578,31.6087,0.14292000000000016,388396.1850544371
31.80898,31.9519,0.14292000000000016,388579.03979717987
32.15218,32.2951,0.1429199999999966,388551.95780515624
32.49538,32.6383,0.1429200000000037,388300.9126060672
32.83858,32.9815,0.1429199999999966,388335.97246788454
33.18178,33.3247,0.1429199999999966,388223.95341701736
33.52498,33.66788,0.14289999999999736,388064.03685825435
33.86816,34.01108,0.1429199999999966,388202.4890254094
34.21136,34.35428,0.1429200000000037,388098.0568472294
34.55456,34.69746,0.14289999999999736,388146.9416967441
34.89774,35.04064,0.14290000000000447,388492.5192967135
35.24092,35.38384,0.1429199999999966,388284.652640561
35.58412,35.72702,0.14290000000000447,388514.77141958446
35.92732,36.07024,0.1429199999999966,388279.36132902507
36.27052,36.41344,0.1429200000000037,388437.18161341525
36.61372,36.75662,0.14289999999999736,388258.22460463876
36.9569,37.09982,0.1429200000000037,388271.3091350203
37.3001,37.443,0.14289999999999736,388300.39674880164
37.64328,37.7862,0.1429200000000037,388137.60085963306
37.98646,38.12938,0.1429199999999966,388170.24925488926
38.32966,38.47258,0.1429200000000037,388379.4013084896
38.67284,38.81576,0.1429199999999966,388622.13385522476
39.01604,39.15896,0.1429200000000037,388746.5457059513
39.35924,39.50216,0.1429200000000037,388650.19527031435
39.70244,39.84536,0.1429199999999966,388698.65391168743
40.04564,40.18856,0.1429200000000037,388617.0014855496
40.38884,40.53176,0.1429199999999966,388443.76898601674
40.73202,40.87494,0.1429200000000037,388222.16396686056
41.07522,41.21814,0.1429199999999966,382458.34406463814
41.4184,41.56132,0.1429200000000037,378612.0505537885
41.7616,41.90452,0.1429199999999966,376094.4629786372
42.10478,42.2477,0.1429200000000037,377020.5251057657
42.44798,42.5909,0.1429199999999966,379448.6250215937
42.79118,42.9341,0.1429200000000037,382311.9024676295
43.13438,43.2773,0.1429199999999966,385083.40199476475
43.47756,43.62048,0.1429200000000037,386767.46735582623
43.82076,43.96368,0.1429199999999966,387853.4698555994
