t_start_s,t_end_s,duration_s,energy_nJ
9.8418,9.98468,0.14288000000000167,539320.7238358442
10.18492,10.32782,0.14289999999999914,539252.3669591072
10.52806,10.67096,0.14289999999999914,539661.5961752726
10.8712,11.0141,0.14289999999999914,539827.5969875867
11.21436,11.35724,0.1428799999999999,539736.9770030419
11.5575,11.70038,0.1428799999999999,539740.6284999964
11.90062,12.04352,0.14289999999999914,539744.7533812271
12.24376,12.38666,0.14289999999999914,539477.4524052526
12.5869,12.72978,0.1428799999999999,539288.6023595849
12.93004,13.07292,0.1428799999999999,539416.4989050397
13.27316,13.41606,0.14289999999999914,539848.4268807698
13.6163,13.7592,0.14289999999999914,539904.9352318873
13.95944,14.10232,0.1428799999999999,539562.4026632793
14.30256,14.44546,0.14290000000000092,539337.1280352547
14.6457,14.78858,0.1428799999999999,539537.9980723298
14.98884,15.13172,0.1428799999999999,539490.6523427851
15.33198,15.47486,0.1428799999999999,539425.5510228613
15.6751,15.81798,0.1428799999999999,539742.7290188998
16.01822,16.16112,0.14290000000000092,539886.1903115128
16.36136,16.50426,0.14289999999999736,540224.0331284525
16.7045,16.8474,0.14290000000000092,540346.955819983
17.04764,17.19052,0.14287999999999812,540269.4553625623
17.39078,17.53366,0.14288000000000167,540092.127975077
17.7339,17.8768,0.14290000000000092,540339.9831824917
18.07704,18.21992,0.14287999999999812,540150.6833429316
18.42018,18.56306,0.14288000000000167,540127.8657396315
18.76332,18.9062,0.14287999999999812,540169.67284026
19.10646,19.24936,0.14290000000000092,540272.6070489719
19.4496,19.5925,0.14290000000000092,540451.9297834453
19.79274,19.93562,0.14288000000000167,540267.894261051
20.13588,20.27876,0.14287999999999812,540121.1222912959
20.479,20.6219,0.14290000000000092,540193.2531967736
20.82214,20.96504,0.14289999999999736,540113.3684674102
21.16528,21.30818,0.14290000000000092,540684.7960944255
21.50842,21.6513,0.14287999999999812,540235.4283910107
21.85156,21.99444,0.14288000000000167,540283.3814732733
22.1947,22.33758,0.14287999999999812,540444.1646043989
22.53784,22.68074,0.14290000000000092,540456.2145308555
22.88098,23.02388,0.14289999999999736,540407.6347593049
23.22412,23.36702,0.14290000000000092,540342.9094050052
23.56726,23.71016,0.14289999999999736,540274.2049260815
23.9104,24.0533,0.14290000000000092,539802.4666006659
24.25354,24.39644,0.14289999999999736,539981.9875624793
24.5967,24.73958,0.14288000000000167,539940.197980031
24.93984,25.08274,0.14290000000000092,540293.1366232187
25.28298,25.42588,0.14290000000000092,540369.2768444282
25.62614,25.76904,0.14290000000000092,539938.4140013686
25.96928,26.11218,0.14289999999999736,540008.8303279884
26.31244,26.45534,0.14290000000000092,540173.2952822901
26.6556,26.7985,0.14290000000000092,540111.6140396291
26.99874,27.14164,0.14289999999999736,540617.1263451498
27.34188,27.48478,0.14290000000000092,540508.8799283794
27.68504,27.82794,0.14290000000000092,538713.8871452716
28.0282,28.1711,0.14290000000000092,538880.3245243594
28.37136,28.51424,0.14288000000000167,539637.5607117077
28.7145,28.8574,0.14289999999999736,539797.3239328541
29.05764,29.20054,0.14290000000000092,539688.0504209514
29.40078,29.54368,0.14289999999999736,539778.2953013486
29.74392,29.88682,0.14290000000000092,539917.3674592712
30.08708,30.22998,0.14290000000000092,540017.3292029619
30.43022,30.5731,0.14288000000000167,539991.6212796218
30.77334,30.91624,0.14289999999999736,540133.5830567227
31.11648,31.25938,0.14290000000000092,540163.5236293039
31.45962,31.60252,0.14289999999999736,540123.3756844713
31.80276,31.94566,0.14290000000000092,540217.966076449
32.1459,32.2888,0.14290000000000447,540236.69462652
32.48904,32.63194,0.14289999999999736,540343.1742312207
32.83218,32.97506,0.14287999999999812,540145.81288908
33.17532,33.3182,0.14287999999999812,540123.5092384589
33.51844,33.66134,0.14290000000000447,540299.6534621433
33.861580000000004,34.00448,0.14289999999999736,540365.2258729408
34.20472,34.34762,0.14289999999999736,540308.7045182281
34.54786,34.69076,0.14289999999999736,540193.2104769921
34.891,35.03388,0.14288000000000523,540082.6645759064
35.23412,35.37702,0.14290000000000447,540222.5649426825
35.57726,35.72014,0.14287999999999812,540151.1501869978
35.92038,36.06326,0.14287999999999812,540145.9902897354
36.2635,36.4064,0.14289999999999736,540310.1804503057
36.60664,36.74952,0.14287999999999812,540162.7063145734
36.94976,37.09264,0.14288000000000523,540179.7079201924
37.29288,37.43578,0.14290000000000447,540988.2510733
37.63602,37.77892,0.14289999999999736,540863.0500314577
37.97916,38.12206,0.14289999999999736,540699.9908643609
38.3223,38.4652,0.14290000000000447,540553.7997582097
38.66544,38.80834,0.14290000000000447,540418.3476208831
39.00858,39.15148,0.14289999999999736,540382.2860377653
39.35172,39.49462,0.14289999999999736,540264.8035087432
39.69486,39.83774,0.14287999999999812,540170.765644858
40.038,40.18088,0.14288000000000523,540189.9668155386
40.38114,40.52402,0.14287999999999812,540134.5715997611
40.72428,40.86716,0.14287999999999812,540089.3828808155
41.06742,41.2103,0.14287999999999812,540015.7263618751
41.41054,41.55344,0.14290000000000447,540112.9241753506
41.75368,41.89658,0.14289999999999736,540126.8253661485
42.09682,42.23972,0.14289999999999736,540068.0256215679
42.43996,42.58286,0.14289999999999736,540112.3928464804
42.7831,42.926,0.14290000000000447,540121.6776226787
43.12624,43.26914,0.14289999999999736,540089.143395872
43.46938,43.61228,0.14289999999999736,540057.4177037705
43.81252,43.95542,0.14289999999999736,540105.0558080748
