t_start_s,t_end_s,duration_s,energy_nJ,event_label
9.8436,9.84692,0.0033200000000004337,9458.838789724821,bench_cmp_register_indexed__cmp_immediate_symbolic
10.04716,10.05046,0.0032999999999994145,9340.226524507741,bench_cmp_register_indexed__cmp_immediate_symbolic
10.2507,10.254,0.0032999999999994145,9351.12085658871,bench_cmp_register_indexed__cmp_immediate_symbolic
10.45424,10.45756,0.0033200000000004337,9465.421075002294,bench_cmp_register_indexed__cmp_immediate_symbolic
10.65778,10.6611,0.0033199999999986574,9453.583462159639,bench_cmp_register_indexed__cmp_immediate_symbolic
10.86132,10.86464,0.0033200000000004337,9436.514542905075,bench_cmp_register_indexed__cmp_immediate_symbolic
11.06488,11.06818,0.0032999999999994145,9322.222603948776,bench_cmp_register_indexed__cmp_immediate_symbolic
11.26842,11.27174,0.0033199999999986574,9421.93945636568,bench_cmp_register_indexed__cmp_immediate_symbolic
11.47196,11.47528,0.0033200000000004337,9457.43910968424,bench_cmp_register_indexed__cmp_immediate_symbolic
11.67552,11.67882,0.0032999999999994145,9413.532784672432,bench_cmp_register_indexed__cmp_immediate_symbolic
11.87906,11.88238,0.0033199999999986574,9430.551368273364,bench_cmp_register_indexed__cmp_immediate_symbolic
12.08262,12.08592,0.0032999999999994145,9331.40380540674,bench_cmp_register_indexed__cmp_immediate_symbolic
12.28616,12.28946,0.0032999999999994145,9362.178577573914,bench_cmp_register_indexed__cmp_immediate_symbolic
12.4897,12.493,0.003300000000001191,9404.078410010408,bench_cmp_register_indexed__cmp_immediate_symbolic
12.69324,12.69654,0.003300000000001191,9388.663901485033,bench_cmp_register_indexed__cmp_immediate_symbolic
12.89678,12.90008,0.003300000000001191,9356.292651503918,bench_cmp_register_indexed__cmp_immediate_symbolic
13.10032,13.10364,0.0033200000000004337,9385.856064037544,bench_cmp_register_indexed__cmp_immediate_symbolic
13.30386,13.30718,0.0033200000000004337,9442.953576800532,bench_cmp_register_indexed__cmp_immediate_symbolic
13.50742,13.51072,0.0032999999999994145,9394.28179524678,bench_cmp_register_indexed__cmp_immediate_symbolic
13.71096,13.71426,0.0032999999999994145,9400.42855450696,bench_cmp_register_indexed__cmp_immediate_symbolic
13.9145,13.91722,0.0027200000000000557,7764.049475081232,bench_cmp_register_indexed__cmp_register_symbolic
14.11744,14.12016,0.0027200000000000557,7705.566459335289,bench_cmp_register_indexed__cmp_register_symbolic
14.32038,14.3231,0.0027200000000000557,7763.0598936230335,bench_cmp_register_indexed__cmp_register_symbolic
14.52332,14.52602,0.002700000000000813,7720.865621233642,bench_cmp_register_indexed__cmp_register_symbolic
14.72624,14.72896,0.0027200000000000557,7805.285067297498,bench_cmp_register_indexed__cmp_register_symbolic
14.9292,14.9319,0.002700000000000813,7709.79082677744,bench_cmp_register_indexed__cmp_register_symbolic
15.13214,15.13486,0.0027200000000000557,7740.3447218240335,bench_cmp_register_indexed__cmp_register_symbolic
15.33508,15.3378,0.0027200000000000557,7717.649950646123,bench_cmp_register_indexed__cmp_register_symbolic
15.53802,15.54074,0.0027200000000000557,7755.490196868929,bench_cmp_register_indexed__cmp_register_symbolic
15.74098,15.7437,0.0027200000000000557,7786.725629120983,bench_cmp_register_indexed__cmp_register_symbolic
15.94392,15.94664,0.0027200000000000557,7779.131156858001,bench_cmp_register_indexed__cmp_register_symbolic
16.14688,16.1496,0.0027200000000000557,7798.401727341168,bench_cmp_register_indexed__cmp_register_symbolic
16.34982,16.35254,0.0027200000000000557,7725.447574629922,bench_cmp_register_indexed__cmp_register_symbolic
16.55276,16.55548,0.0027200000000000557,7720.767622813492,bench_cmp_register_indexed__cmp_register_symbolic
16.7557,16.75842,0.0027200000000000557,7753.755424637163,bench_cmp_register_indexed__cmp_register_symbolic
16.95864,16.96136,0.0027200000000000557,7781.9714136425155,bench_cmp_register_indexed__cmp_register_symbolic
17.1616,17.16432,0.0027200000000000557,7802.210771478667,bench_cmp_register_indexed__cmp_register_symbolic
17.36454,17.36726,0.0027200000000000557,7780.625338200191,bench_cmp_register_indexed__cmp_register_symbolic
17.5675,17.5702,0.002700000000000813,7680.206964726306,bench_cmp_register_indexed__cmp_register_symbolic
17.77044,17.77316,0.0027200000000000557,7735.531753860105,bench_cmp_register_indexed__cmp_register_symbolic
17.9734,17.9767,0.0032999999999994145,9325.345116665307,bench_cmp_register_indexed__cmp_immediate_absolute
18.17694,18.18024,0.0033000000000029672,9330.311187086007,bench_cmp_register_indexed__cmp_immediate_absolute
18.38048,18.3838,0.00332000000000221,9394.095819449867,bench_cmp_register_indexed__cmp_immediate_absolute
18.58402,18.58734,0.00332000000000221,9342.07590297511,bench_cmp_register_indexed__cmp_immediate_absolute
18.78756,18.79088,0.00332000000000221,9333.995122003249,bench_cmp_register_indexed__cmp_immediate_absolute
18.9911,18.99442,0.00332000000000221,9391.862300696408,bench_cmp_register_indexed__cmp_immediate_absolute
19.19464,19.19794,0.0032999999999994145,9327.41556782098,bench_cmp_register_indexed__cmp_immediate_absolute
19.39818,19.40148,0.0032999999999994145,9310.704551169638,bench_cmp_register_indexed__cmp_immediate_absolute
19.60172,19.60502,0.0032999999999994145,9277.399647978998,bench_cmp_register_indexed__cmp_immediate_absolute
19.80526,19.80858,0.0033199999999986574,9326.557465824677,bench_cmp_register_indexed__cmp_immediate_absolute
